ID|Date|Amount|Purpose|Account|Categorized
2888|2024-01-29|-9,5|Amorino|CIC|null
2889|2024-01-29|-57,66|Carrefour|CIC|null
2891|2024-01-23|-29,7|Cintura|CIC|null
2892|2024-01-24|-36,5|EDF|CIC|null
2893|2024-01-25|-7,5|Kebap|CIC|null
2894|2024-01-25|200,0|Inflow|CIC|null
2895|2024-01-29|-6,0|Mac Donald|CIC|null
2902|2024-01-31|-2,1|Breakfast at NEOMA|CIC|null
2903|2024-02-01|-0,54|Cafe at school|CIC|null
2904|2024-02-02|-9,88|Assurance Habitation|CIC|null
2905|2024-02-02|-30,0|Cash out|Cash|null
2906|2024-02-05|-12,99|Bouygues telecom |CIC|null
2907|2024-02-05|-8,09|Carrefour city |CIC|null
2908|2024-02-06|-19,99|Free|CIC|null
2911|2024-02-09|-12,8| Reims Carrefour Market|CIC|null
2912|2024-02-12|-63,91|Carrefour for the week|CIC|null
2913|2024-02-13|-5,95|Starbucks|CIC|null
2914|2024-02-14|-2,2|Breakfast  at school|CIC|null
2915|2024-02-14|-0,55|Cafe at school|CIC|null
2916|2024-02-12|-0,55|Cafe at school|CIC|null
2917|2024-02-12|-2,2|Breakfast at school|CIC|null
2918|2024-02-12|-6,0|Mac Donald|CIC|null
2919|2024-02-16|-50,0|Cash out|Cash|null
2920|2024-02-15|-2,35|Le Bourget|CIC|null
